number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.023809523809523808,2024-04-01 16:42:04.921706,2024-04-01 16:42:33.191487,0 days 00:00:28.269781,6.98980284188601e-08,COMPLETE
1,0.20198675496688742,2024-04-01 16:42:33.192167,2024-04-01 16:43:00.278086,0 days 00:00:27.085919,5.499842693431488e-06,COMPLETE
2,0.20198675496688742,2024-04-01 16:43:00.278872,2024-04-01 16:43:27.719827,0 days 00:00:27.440955,1.1321942311229639e-06,COMPLETE
3,0.31026672465028626,2024-04-01 16:43:27.720330,2024-04-01 16:43:55.368431,0 days 00:00:27.648101,2.1241292346672202e-05,COMPLETE
4,0.32117105146602887,2024-04-01 16:43:55.369236,2024-04-01 16:44:23.254392,0 days 00:00:27.885156,2.6754859826721696e-07,COMPLETE
5,0.31911027568922307,2024-04-01 16:44:23.255092,2024-04-01 16:44:51.129018,0 days 00:00:27.873926,2.281322954743944e-08,COMPLETE
6,0.5080801874887654,2024-04-01 16:44:51.129626,2024-04-01 16:45:18.986098,0 days 00:00:27.856472,6.984409762802904e-05,COMPLETE
7,0.5909830753684316,2024-04-01 16:45:18.986866,2024-04-01 16:45:46.824541,0 days 00:00:27.837675,7.658353994424274e-05,COMPLETE
8,0.45572771674289125,2024-04-01 16:45:46.825251,2024-04-01 16:46:14.766817,0 days 00:00:27.941566,1.833468360310515e-05,COMPLETE
9,0.481923291212579,2024-04-01 16:46:14.767428,2024-04-01 16:46:42.720184,0 days 00:00:27.952756,1.4866328669273348e-05,COMPLETE
10,0.5428302565509135,2024-04-01 16:46:42.720915,2024-04-01 16:47:10.505491,0 days 00:00:27.784576,1.9801998959815005e-06,COMPLETE
11,0.5372526765785193,2024-04-01 16:47:10.506383,2024-04-01 16:47:38.232685,0 days 00:00:27.726302,2.0997692514794746e-06,COMPLETE
12,0.4999043545231203,2024-04-01 16:47:38.233271,2024-04-01 16:48:06.172864,0 days 00:00:27.939593,9.80137217949254e-05,COMPLETE
13,0.508862175006989,2024-04-01 16:48:06.173486,2024-04-01 16:48:34.034909,0 days 00:00:27.861423,1.8966895175628839e-07,COMPLETE
14,0.5152508165844122,2024-04-01 16:48:34.035667,2024-04-01 16:49:01.748072,0 days 00:00:27.712405,3.801444304089314e-07,COMPLETE
15,0.5264310251152357,2024-04-01 16:49:01.748796,2024-04-01 16:49:29.497436,0 days 00:00:27.748640,5.812499568398126e-06,COMPLETE
16,0.530160783888554,2024-04-01 16:49:29.498324,2024-04-01 16:49:57.471543,0 days 00:00:27.973219,3.14589834600165e-06,COMPLETE
17,0.530160783888554,2024-04-01 16:49:57.472286,2024-04-01 16:50:25.537575,0 days 00:00:28.065289,1.1124229923018646e-08,COMPLETE
18,0.5328213401181784,2024-04-01 16:50:25.538361,2024-04-01 16:50:53.660430,0 days 00:00:28.122069,6.766067309118867e-07,COMPLETE
19,0.48056147107320385,2024-04-01 16:50:53.661049,2024-04-01 16:51:21.653257,0 days 00:00:27.992208,4.466474794785039e-05,COMPLETE
20,0.4761504899092163,2024-04-01 16:51:21.654040,2024-04-01 16:51:49.631883,0 days 00:00:27.977843,5.794050978843875e-08,COMPLETE
21,0.5178547386339857,2024-04-01 16:51:49.632621,2024-04-01 16:52:17.517622,0 days 00:00:27.885001,1.6156143223428716e-06,COMPLETE
22,0.5130722718381482,2024-04-01 16:52:17.518622,2024-04-01 16:52:45.635094,0 days 00:00:28.116472,2.6137707952832134e-06,COMPLETE
23,0.5079830541909194,2024-04-01 16:52:45.635921,2024-04-01 16:53:13.475799,0 days 00:00:27.839878,8.307334113455861e-06,COMPLETE
24,0.5211185707194745,2024-04-01 16:53:13.476626,2024-04-01 16:53:41.358850,0 days 00:00:27.882224,3.5899829681522375e-05,COMPLETE
25,0.5408242901959529,2024-04-01 16:53:41.359541,2024-04-01 16:54:09.393310,0 days 00:00:28.033769,6.647229288646563e-07,COMPLETE
26,0.5377907565158476,2024-04-01 16:54:09.394061,2024-04-01 16:54:37.348628,0 days 00:00:27.954567,6.103268491340885e-07,COMPLETE
27,0.5364558920783029,2024-04-01 16:54:37.349279,2024-04-01 16:55:05.327626,0 days 00:00:27.978347,1.0048007122497316e-07,COMPLETE
28,0.5364558920783029,2024-04-01 16:55:05.328423,2024-04-01 16:55:33.553837,0 days 00:00:28.225414,1.502534192334888e-07,COMPLETE
29,0.5361840251328086,2024-04-01 16:55:33.554481,2024-04-01 16:56:31.657671,0 days 00:00:58.103190,7.286134944642888e-07,COMPLETE
